Domain Name,Meaning / Rationale,Category,Available (Y/N),Notes
sacredvows.io,"Sacred wedding promises - CHOSEN DOMAIN",âœ… SELECTED,Y,PRIMARY DOMAIN
everlasting.app,"Forever lasting love - matches current branding",Primary Brand,, 
everlastinginvites.com,"Clear purpose + brand name",Primary Brand,,
everlasting.io,"Modern tech-forward extension",Primary Brand,,
everlasting.co,"Short, premium feel",Primary Brand,,
forevervows.com,"Wedding vows that last forever",Romance / Forever,,
foreverbegins.com,"Your forever begins here - emotional",Romance / Forever,,
eternalvows.com,"Timeless wedding promises",Romance / Forever,,
infinitelove.app,"Love without end",Romance / Forever,,
ourforever.co,"Personal, intimate feel",Romance / Forever,,
saidyes.app,"The moment of engagement/acceptance",Romance / Forever,,
wedbliss.com,"Wedding + happiness combined",Wedding Specific,,
wedcrafted.com,"Handcrafted wedding invitations",Wedding Specific,,
invitely.co,"Invite + elegantly",Wedding Specific,,
invitecraft.com,"Crafting beautiful invitations",Wedding Specific,,
weddingcraft.co,"Wedding + craftsmanship",Wedding Specific,,
wedinvite.app,"Direct, clear purpose",Wedding Specific,,
celebrateus.co,"Celebration of the couple",Celebration,,
togetherinvites.com,"Together forever, together inviting",Celebration,,
ourunion.app,"Union of two people",Celebration,,
vowed.app,"Short, meaningful - taking vows",Elegant / Short,,
betrothed.app,"Old English word for engaged",Elegant / Short,,
affianced.co,"Sophisticated word for engaged",Elegant / Short,,
blissful.app,"Full of joy and happiness",Elegant / Short,,
cherished.app,"Deeply loved and valued",Elegant / Short,,
beloved.app,"Dearly loved",Elegant / Short,,
twined.co,"Two lives intertwined",Elegant / Short,,
entwined.app,"Lives woven together",Elegant / Short,,
heartfelt.app,"Sincere, emotional invitations",Elegant / Short,,
myaisle.co,"Walking down the aisle",Journey,,
aisleready.com,"Ready for the wedding day",Journey,,
tothealtar.com,"Journey to marriage",Journey,,
weddingbloom.com,"Love blooming into marriage",Nature / Romantic,,
petalanvows.com,"Floral romance + vows",Nature / Romantic,,
roseandvow.com,"Classic romantic imagery",Nature / Romantic,,
bloomingvows.com,"Love in full bloom",Nature / Romantic,,
gardenofvows.com,"Romantic garden wedding feel",Nature / Romantic,,
goldenknot.com,"Tying the knot + golden elegance",Elegance,,
silkenvows.com,"Smooth, elegant promises",Elegance,,
velvetvows.com,"Luxurious, soft romantic feel",Elegance,,
royalvows.com,"Matches Royal Elegance template",Elegance,,
gracedinvites.com,"Elegant, graceful invitations",Elegance,,
mintedlove.com,"Fresh, precious love",Modern / Trendy,,
lovelyminted.com,"Beautifully crafted with love",Modern / Trendy,,
paperlove.app,"Digital paper invitations with love",Modern / Trendy,,
lovelettered.com,"Love letters / invitations",Modern / Trendy,,
scripted.love,"Scripted love story (.love TLD)",Modern / Trendy,,
invites.love,"Direct + romantic TLD",Modern / Trendy,,
forever.wedding,"Forever + wedding TLD",Premium TLD,,
our.wedding,"Personal + wedding TLD",Premium TLD,,
create.wedding,"Action-oriented + wedding TLD",Premium TLD,,
shaadi.app,"Hindi word for wedding - Indian market",Cultural,,
vivah.app,"Sanskrit/Hindi word for marriage",Cultural,,
kalyanam.app,"Telugu/Tamil word for wedding",Cultural,,
mangalya.com,"Sacred wedding thread concept",Cultural,,
bandhan.app,"Hindi for bond/relationship",Cultural,,

